 103032 3
2.818899 0 -1.133103
3.039784 0 0.003091
2.15556 0 -2.138774
1.165844 0 -2.804644
0.003091 0 -3.039784
-1.133103 0 -2.818899
-2.138774 0 -2.15556
-2.804644 0 -1.165844
-3.039784 0 -0.003091
-2.818899 0 1.133103
-2.15556 0 2.138774
-1.165844 0 2.804644
-0.003091 0 3.039784
1.133103 0 2.818899
2.138774 0 2.15556
0 0 0
2.804644 0 1.165844
5.275112 0.068 -0.08816
5.082115 0.049383 0.885147
-2.767979 0.049383 4.349803
-4.273949 0.049383 2.882952
-5.275112 0.068 0.08816
-4.932123 0.068 -1.862402
-4.349803 0.049383 -2.767979
-3.794886 0.068 -3.656162
-2.882952 0.049383 -4.273949
-0.08816 0.068 -5.275112
0.885147 0.049383 -5.082115
1.862402 0.068 -4.932123
2.767979 0.049383 -4.349803
3.656162 0.068 -3.794886
4.273949 0.049383 -2.882952
5.05869 0.049383 -1.01157
4.862997 0.068 -2.035107
5.358451 0.351468 -1.977798
4.035558 0.351468 -4.037157
1.043468 0.351468 -5.615993
0.085068 0.332585 -5.684746
-1.01157 0.049383 -5.05869
-2.035107 0.068 -4.862997
-1.977798 0.351468 -5.358451
-3.091109 0.363551 -4.81791
-4.037157 0.351468 -4.035558
-5.082115 0.049383 -0.885147
-5.615993 0.351468 -1.043468
-5.684746 0.332585 -0.085068
-5.05869 0.049383 1.01157
-4.862997 0.068 2.035107
-5.358451 0.351468 1.977798
-4.81791 0.363551 3.091109
-3.656162 0.068 3.794886
-3.132317 0.351468 4.773599
-1.862402 0.068 4.932123
-2.112358 0.351468 5.305194
-0.885147 0.049383 5.082115
-1.043468 0.351468 5.615993
0.08816 0.068 5.275112
-0.085068 0.332585 5.684746
1.01157 0.049383 5.05869
0.914955 0.351468 5.640512
2.035107 0.068 4.862997
1.977798 0.351468 5.358451
2.882952 0.049383 4.273949
3.091109 0.363551 4.81791
3.794886 0.068 3.656162
4.037157 0.351468 4.035558
4.349803 0.049383 2.767979
4.773599 0.351468 3.132317
4.932123 0.068 1.862402
5.305194 0.351468 2.112358
6.272178 0.454482 -1.824503
6.449496 0.460204 -1.212959
6.075176 0.413007 -1.195132
5.724789 0.413007 -2.355639
6.089068 0.460204 -2.446127
6.505923 0.454482 -0.598579
6.703778 0.689455 -1.950152
6.46065 0.667122 -2.595427
6.675077 0.985599 -2.682827
7.083017 1.028261 -1.337878
6.843082 0.667122 -1.286943
6.953666 0.689455 -0.639895
6.745985 0.532767 -0.620212
6.65708 0.532767 -1.252295
6.503827 0.532767 -1.891512
6.285119 0.532767 -2.524678
6.821814 1.74666 -2.750893
7.355892 1.74666 0.013701
6.722734 2.712037 -2.721003
7.250671 2.712037 0.021259
6.538282 3.612383 -2.646347
7.051734 3.612383 0.020676
6.340694 4.443431 -2.566374
6.83863 4.443431 0.020051
6.254411 5.412663 -2.522072
6.744084 5.412663 0.012623
6.66957 6.181891 -1.259687
6.799164 6.230497 0.005818
6.30732 6.230497 -2.534976
6.73476 6.940757 -2.513203
6.806805 6.945506 -2.348094
6.721098 6.89754 -2.318743
6.597113 6.89754 -2.651074
6.681068 6.945505 -2.685075
6.851564 6.940757 -2.174747
6.914709 6.945506 -2.008272
6.827669 6.89754 -1.983223
6.743651 6.816901 -1.959069
6.629198 6.805829 -2.287441
6.51612 6.816901 -2.618155
6.950277 6.940757 -1.835045
7.004624 6.945506 -1.66788
6.916481 6.89754 -1.647136
7.031196 6.940757 -1.495433
7.07691 6.945506 -1.328223
6.987889 6.89754 -1.311771
6.901967 6.816901 -1.295921
6.822013 6.805829 -1.625096
6.802643 6.661285 -1.278108
6.635965 6.63911 -1.929021
6.422346 6.661285 -2.58045
7.094738 6.940757 -1.157177
7.132035 6.945506 -0.990529
7.042356 6.89754 -0.978341
7.14142 6.940757 -0.821464
7.170569 6.945506 -0.655943
7.080443 6.89754 -0.647976
6.993462 6.816901 -0.640318
6.946295 6.805829 -0.965497
7.171856 6.940757 -0.489389
7.193166 6.945506 -0.325518
7.102794 6.89754 -0.321715
7.186733 6.940757 -0.161957
7.200516 6.945505 0.001121
7.110037 6.89754 0.001598
7.02272 6.816901 0.002206
7.006049 6.805829 -0.317871
6.921913 6.661285 0.002909
6.882506 6.63911 -0.631652
6.503927 6.896974 -2.613884
6.556159 6.889476 -2.446554
6.725416 6.981468 -2.509616
6.660544 6.981468 -2.67707
6.626331 6.896974 -2.285837
6.786003 6.981468 -2.340858
6.898759 7.020737 -2.476411
6.881032 7.02343 -2.567631
6.943017 7.02343 -2.394966
6.83457 7.020737 -2.648417
6.814571 7.02343 -2.739162
6.669865 6.889476 -2.117074
6.842046 6.981468 -2.171618
6.731373 6.896974 -1.955026
6.89357 6.981468 -2.002069
7.01321 7.020737 -2.130832
7.000353 7.02343 -2.221807
7.053066 7.02343 -2.048331
6.958299 7.020737 -2.303824
7.074 7.035501 -2.342124
7.044325 7.035501 -2.429916
7.102499 7.035501 -2.254231
7.141461 7.037069 -2.266592
7.114449 7.037066 -2.355524
7.082969 7.037069 -2.443241
7.129823 7.035501 -2.166256
7.15598 7.035501 -2.078224
7.195236 7.037069 -2.08962
7.170592 7.037066 -2.17865
7.202448 7.036455 -2.091765
7.148786 7.036265 -2.268999
7.090063 7.036455 -2.445736
6.948214 7.035501 -2.692449
6.914026 7.035501 -2.779081
6.981434 7.035501 -2.605101
7.019733 7.037069 -2.619387
6.987943 7.037066 -2.70785
6.951933 7.037069 -2.794378
7.013471 7.035501 -2.517582
7.053573 7.037066 -2.531984
7.026925 7.036265 -2.622148
6.958959 7.036455 -2.797068
6.76596 6.889476 -1.786381
6.940609 6.981468 -1.832378
6.818905 6.896974 -1.623659
6.983202 6.981468 -1.662712
7.109275 7.020737 -1.784332
7.101189 7.02343 -1.874712
7.144764 7.02343 -1.701117
7.063523 7.020737 -1.957612
6.844733 6.889476 -1.455775
7.021399 6.981468 -1.493229
6.889274 6.896974 -1.293006
7.055257 6.981468 -1.324087
7.18729 7.020737 -1.438256
7.183842 7.02343 -1.527711
7.218478 7.02343 -1.354654
7.150513 7.020737 -1.61116
7.269408 7.035501 -1.637942
7.249017 7.035501 -1.725944
7.288665 7.035501 -1.550008
7.328649 7.037069 -1.558506
7.310976 7.037066 -1.647316
7.288782 7.037069 -1.735407
7.306796 7.035501 -1.462163
7.323808 7.035501 -1.374426
7.363983 7.037069 -1.38196
7.348577 7.037066 -1.470532
7.371377 7.036455 -1.383404
7.336187 7.036265 -1.560202
7.296095 7.036455 -1.737202
7.180973 7.035501 -1.990155
7.204806 7.035501 -1.902072
7.244329 7.037069 -1.912501
7.222034 7.037066 -2.001543
7.227485 7.035501 -1.813994
7.268813 7.037066 -1.824375
7.25177 7.036265 -1.914553
7.299751 7.03159 -1.738411
7.206017 7.03159 -2.093121
7.375116 7.03159 -1.384462
7.376891 7.019463 -1.38518
7.30146 7.019463 -1.739184
7.207661 7.019463 -2.093944
7.093541 7.03159 -2.447234
6.962685 7.03159 -2.797982
7.09512 7.019463 -2.448102
6.964557 7.019463 -2.798149
6.906589 6.889476 -1.12649
7.084836 6.981468 -1.155436
6.942938 6.896974 -0.964266
7.110205 6.981468 -0.987422
7.247706 7.020737 -1.093875
7.248737 7.02343 -1.182099
7.274688 7.02343 -1.010195
7.219665 7.020737 -1.265777
6.952034 6.889476 -0.799679
7.131437 6.981468 -0.820184
6.980452 6.896974 -0.638551
7.148612 6.981468 -0.653857
7.291078 7.020737 -0.752378
7.296407 7.02343 -0.839087
7.313974 7.02343 -0.66891
7.271484 7.020737 -0.922696
7.392388 7.035501 -0.938029
7.380838 7.035501 -1.024941
7.402874 7.035501 -0.851336
7.443481 7.037069 -0.856
7.434661 7.037066 -0.943402
7.421326 7.037069 -1.030558
7.412308 7.035501 -0.76488
7.420698 7.035501 -0.678677
7.461403 7.037069 -0.682393
7.454695 7.037066 -0.769263
7.468912 7.036455 -0.683142
7.451165 7.036265 -0.856985
7.428786 7.036455 -1.031654
7.339709 7.035501 -1.286816
7.354508 7.035501 -1.199353
7.394852 7.037069 -1.205926
7.38168 7.037066 -1.294183
7.368215 7.035501 -1.112055
7.410349 7.037066 -1.118423
7.402472 7.036265 -1.207266
6.981663 6.889476 -0.476411
7.161812 6.981468 -0.488568
7.002448 6.896974 -0.316887
7.171128 6.981468 -0.324441
7.318051 7.020737 -0.41486
7.327475 7.02343 -0.499797
7.337001 7.02343 -0.331871
7.30657 7.020737 -0.583057
6.996145 6.889476 -0.157662
7.17665 6.981468 -0.16159
7.009603 6.896974 0.001092
7.178456 6.981468 0.000802
7.329344 7.020737 -0.082318
7.342646 7.02343 -0.165252
7.344501 7.02343 0.000571
7.325609 7.020737 -0.247909
7.447412 7.035501 -0.252022
7.444062 7.035501 -0.33672
7.449789 7.035501 -0.16767
7.490653 7.037069 -0.168583
7.490002 7.037066 -0.253473
7.484895 7.037069 -0.338561
7.451207 7.035501 -0.083678
7.451671 7.035501 0.000644
7.492545 7.037069 0.00058
7.493821 7.037066 -0.084166
7.500093 7.036455 0.00077
7.498413 7.036265 -0.168866
7.492435 7.036455 -0.338966
7.428057 7.035501 -0.592743
7.434397 7.035501 -0.507096
7.475177 7.037069 -0.509871
7.470536 7.037066 -0.596142
7.439727 7.035501 -0.421749
7.482273 7.037066 -0.42417
7.482906 7.036265 -0.510503
7.496388 7.03159 -0.339543
7.472799 7.03159 -0.683883
7.504033 7.03159 0.001685
7.505986 7.019463 0.002626
7.498357 7.019463 -0.340063
7.474705 7.019463 -0.684475
7.432602 7.03159 -1.032555
7.434443 7.019463 -1.033212
7.472995 7.002771 -0.683901
7.432796 7.002771 -1.032582
7.375309 7.00277 -1.384498
7.50423 7.00277 0.001685
7.496584 7.002771 -0.339551
7.46705 6.99946 -0.509534
7.445627 6.999024 -0.681104
7.46909 6.999024 -0.338004
7.48254 6.99946 -0.168625
7.476721 6.999024 0.001162
7.34323 6.986225 -0.165448
7.337573 6.986225 -0.332077
7.345069 6.986225 0.001275
7.328033 6.986225 -0.500012
7.31452 6.986225 -0.669134
7.386756 6.99946 -1.204808
7.348373 6.999024 -1.379172
7.405613 6.999024 -1.028524
7.435361 6.99946 -0.855276
7.296939 6.986225 -0.839319
7.275208 6.986225 -1.010435
7.249245 6.986225 -1.182346
7.218973 6.986225 -1.354907
7.206206 7.002771 -2.093176
7.093726 7.002771 -2.447298
6.962867 7.00277 -2.798056
7.299942 7.002771 -1.738456
7.23635 6.99946 -1.910577
7.179951 6.999024 -2.085308
7.273314 6.999024 -1.731858
7.320599 6.99946 -1.556986
7.184324 6.986225 -1.52797
7.145234 6.986225 -1.701381
7.101647 6.986225 -1.874981
7.053511 6.986225 -2.048605
7.011962 6.99946 -2.616647
6.937346 6.999024 -2.788074
7.067908 6.999024 -2.438165
7.133574 6.99946 -2.26426
7.000787 6.986225 -2.222084
6.943439 6.986225 -2.395246
6.881443 6.986225 -2.567914
6.815221 6.986225 -2.738884
6.472919 6.535286 -1.881626
6.263817 6.558749 -2.516755
6.164396 6.113368 -2.477535
6.519825 6.063134 -1.231415
6.634727 6.558749 -1.246559
6.713404 6.535286 -0.616134
6.645095 6.113368 0.005683
6.751053 6.558749 0.002836
6.768778 6.718837 -0.940824
6.725074 6.731587 -1.262707
6.814223 6.731586 -0.623907
6.827005 6.718837 -0.309748
6.842731 6.731587 0.002149
6.916455 6.829373 -0.313275
6.894691 6.829373 -0.630976
6.923509 6.829373 0.001556
6.857604 6.829373 -0.952674
6.804565 6.829373 -1.277357
6.459784 6.718837 -2.228984
6.349116 6.731587 -2.551053
6.570816 6.731586 -1.90886
6.647672 6.718837 -1.583566
6.735031 6.829373 -1.603924
6.648548 6.829373 -1.931194
6.544773 6.829373 -2.257912
6.424041 6.829373 -2.581524
6.133 5.271467 -2.473119
6.613167 5.271467 0.012372
6.229787 4.329634 -2.521485
6.719014 4.329634 0.019701
6.436821 3.477836 -2.605281
6.942306 3.477836 0.020355
6.688203 2.529283 -2.696949
7.211838 2.529283 0.01348
7.141593 1.813167 -1.355062
7.274697 1.746784 0.009467
6.747156 1.746784 -2.712805
6.431191 0.843284 -2.584814
6.812355 0.843284 -1.285083
7.024077 1.24781 -1.330755
6.630674 1.24781 -2.665999
6.93285 0.843284 0.006411
7.149416 1.24781 0.010392
5.806375 0.520056 -2.332562
5.975579 0.516681 -1.738227
6.282151 0.567207 -1.827042
6.070898 0.567207 -2.438627
6.150069 0.520056 -1.156646
6.430181 0.567207 -1.209612
6.618366 0.651029 -1.244684
6.481597 0.664711 -1.885513
6.248493 0.651029 -2.510196
6.198272 0.516681 -0.570274
6.516057 0.567207 -0.599073
6.258262 0.520056 0.004015
6.543396 0.567207 0.004649
6.734784 0.651029 0.004265
6.7232 0.664711 -0.618681
4.93852 0.479999 -1.985617
5.159305 0.478764 -0.978362
5.809935 0.496618 -1.095944
5.484881 0.496618 -2.204408
5.324694 0.479999 0.007089
5.912702 0.496618 0.005502
4.179524 0.469782 -1.685095
4.506806 0.469782 0.00857
3.206141 0.464156 -1.297674
3.45792 0.464156 0.010139
2.417174 0.46221 -0.978343
2.606995 0.46221 0.007644
1.634972 0.461422 -0.661749
1.763367 0.461422 0.00517
0.863499 0.461121 -0.349544
0.931322 0.461121 0.002784
5.080513 0.454482 -4.104988
5.490966 0.460204 -3.592632
5.207512 0.415389 -3.40834
4.437233 0.413007 -4.315979
4.665232 0.460204 -4.61453
5.793169 0.454482 -3.017926
5.430108 0.689455 -4.387483
4.949911 0.667122 -4.896162
5.114916 0.985599 -5.058317
6.028804 1.028261 -3.946983
5.826067 0.667122 -3.811866
6.191806 0.689455 -3.225659
6.007138 0.532767 -3.129147
5.667619 0.532767 -3.708339
5.268166 0.532767 -4.256509
4.815557 0.532767 -4.762851
5.2314 1.74666 -5.168641
5.159733 2.712037 -5.092837
5.018165 3.612383 -4.953105
4.866515 4.443431 -4.803421
4.796296 5.412663 -4.73871
5.676919 6.181891 -3.716567
4.833127 6.230497 -4.779598
5.234732 6.940757 -4.92652
5.366217 6.945506 -4.801004
5.298668 6.89754 -4.740604
5.053649 6.89754 -5.001037
5.117844 6.945505 -5.06496
5.476298 6.940757 -4.656523
5.6011 6.945506 -4.52478
5.530585 6.89754 -4.467877
5.462518 6.816901 -4.412956
